Tram ID,Station,Direction,Tram Type,Timestamp,Wait Time (s),Time Slot
REF,Marijin Dvor,Basčaršija-Ilidža,,9.5.2025. 11:33:07,N/A,Off-peak
TRAM1,Marijin Dvor,Basčaršija-Ilidža,New,9.5.2025. 11:36:41,214,Off-peak
TRAM2,Marijin Dvor,Basčaršija-Ilidža,Old,9.5.2025. 11:37:02,21,Off-peak
TRAM3,Marijin Dvor,Basčaršija-Ilidža,Old,9.5.2025. 11:51:08,846,Off-peak
TRAM4,Marijin Dvor,Basčaršija-Ilidža,Old,9.5.2025. 11:53:54,166,Off-peak
REF,Marijin Dvor,Ilidža-Baščaršija,,9.5.2025. 11:53:12,N/A,Off-peak
TRAM5,Marijin Dvor,Ilidža-Baščaršija,Old,9.5.2025. 11:56:35,203,Off-peak
TRAM6,Marijin Dvor,Ilidža-Baščaršija,Old,9.5.2025. 11:59:20,165,Off-peak
TRAM7,Marijin Dvor,Ilidža-Baščaršija,New,9.5.2025. 12:03:12,232,Off-peak
TRAM8,Marijin Dvor,Ilidža-Baščaršija,Old,9.5.2025. 12:04:05,53,Off-peak
TRAM9,Marijin Dvor,Basčaršija-Ilidža,New,9.5.2025. 12:08:47,893,Off-peak
TRAM10,Marijin Dvor,Ilidža-Baščaršija,New,9.5.2025. 12:11:38,453,Off-peak
TRAM11,Marijin Dvor,Basčaršija-Ilidža,Old,9.5.2025. 12:12:33,226,Off-peak
REF,Marijin Dvor,Basčaršija-Ilidža,,14.5.2025. 09:28:22,N/A,Off-peak
TRAM12,Marijin Dvor,Basčaršija-Ilidža,Old,14.5.2025. 09:32:36,254,Off-peak
TRAM13,Marijin Dvor,Basčaršija-Ilidža,Old,14.5.2025. 09:41:18,522,Off-peak
REF,Marijin Dvor,Basčaršija-Ilidža,,14.5.2025. 11:05:39,N/A,Off-peak
TRAM14,Marijin Dvor,Basčaršija-Ilidža,New,14.5.2025. 11:08:54,195,Off-peak
TRAM15,Marijin Dvor,Basčaršija-Ilidža,Old,14.5.2025. 11:10:17,83,Off-peak
REF,Marijin Dvor,Ilidža-Baščaršija,,14.5.2025. 11:08:13,N/A,Off-peak
TRAM16,Marijin Dvor,Ilidža-Baščaršija,New,14.5.2025. 11:12:25,252,Off-peak
